ExpositionPeriodId;ExpositionId;PeriodStart;PeriodEnd;RemainingTIckets
72CCE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-11 13:00:00.0000000;2020-05-11 14:00:00.0000000;13
7ACCE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-12 13:00:00.0000000;2020-05-12 14:00:00.0000000;13
82CCE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-13 13:00:00.0000000;2020-05-13 14:00:00.0000000;11
8ACCE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-14 13:00:00.0000000;2020-05-14 14:00:00.0000000;15
92CCE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-15 13:00:00.0000000;2020-05-15 14:00:00.0000000;15
1A507B2B-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-16 12:00:00.0000000;2020-05-16 13:00:00.0000000;15
9ACCE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-16 13:00:00.0000000;2020-05-16 14:00:00.0000000;15
A2548D3D-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-16 14:00:00.0000000;2020-05-16 15:00:00.0000000;15
25507B2B-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-17 12:00:00.0000000;2020-05-17 13:00:00.0000000;15
A2CCE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-17 13:00:00.0000000;2020-05-17 14:00:00.0000000;13
AB548D3D-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-17 14:00:00.0000000;2020-05-17 15:00:00.0000000;15
AACCE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-18 13:00:00.0000000;2020-05-18 14:00:00.0000000;13
B2CCE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-19 13:00:00.0000000;2020-05-19 14:00:00.0000000;15
BBCCE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-20 13:00:00.0000000;2020-05-20 14:00:00.0000000;15
C3CCE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-21 13:00:00.0000000;2020-05-21 14:00:00.0000000;15
CBCCE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-22 13:00:00.0000000;2020-05-22 14:00:00.0000000;15
33507B2B-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-23 12:00:00.0000000;2020-05-23 13:00:00.0000000;15
D3CCE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-23 13:00:00.0000000;2020-05-23 14:00:00.0000000;15
B4548D3D-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-23 14:00:00.0000000;2020-05-23 15:00:00.0000000;15
3B507B2B-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-24 12:00:00.0000000;2020-05-24 13:00:00.0000000;15
DCCCE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-24 13:00:00.0000000;2020-05-24 14:00:00.0000000;15
BC548D3D-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-24 14:00:00.0000000;2020-05-24 15:00:00.0000000;15
E4CCE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-25 13:00:00.0000000;2020-05-25 14:00:00.0000000;15
ECCCE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-26 13:00:00.0000000;2020-05-26 14:00:00.0000000;15
F4CCE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-27 13:00:00.0000000;2020-05-27 14:00:00.0000000;15
FDCCE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-28 13:00:00.0000000;2020-05-28 14:00:00.0000000;9
05CDE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-29 13:00:00.0000000;2020-05-29 14:00:00.0000000;15
43507B2B-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-30 12:00:00.0000000;2020-05-30 13:00:00.0000000;15
0DCDE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-30 13:00:00.0000000;2020-05-30 14:00:00.0000000;15
C4548D3D-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-30 14:00:00.0000000;2020-05-30 15:00:00.0000000;15
4B507B2B-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-31 12:00:00.0000000;2020-05-31 13:00:00.0000000;15
19CDE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-31 13:00:00.0000000;2020-05-31 14:00:00.0000000;15
CC548D3D-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-05-31 14:00:00.0000000;2020-05-31 15:00:00.0000000;15
29CDE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-01 13:00:00.0000000;2020-06-01 14:00:00.0000000;15
34CDE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-02 13:00:00.0000000;2020-06-02 14:00:00.0000000;15
45CDE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-03 13:00:00.0000000;2020-06-03 14:00:00.0000000;15
56CDE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-04 13:00:00.0000000;2020-06-04 14:00:00.0000000;15
68CDE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-05 13:00:00.0000000;2020-06-05 14:00:00.0000000;15
53507B2B-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-06 12:00:00.0000000;2020-06-06 13:00:00.0000000;15
7ACDE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-06 13:00:00.0000000;2020-06-06 14:00:00.0000000;15
D4548D3D-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-06 14:00:00.0000000;2020-06-06 15:00:00.0000000;15
5B507B2B-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-07 12:00:00.0000000;2020-06-07 13:00:00.0000000;15
85CDE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-07 13:00:00.0000000;2020-06-07 14:00:00.0000000;15
DC548D3D-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-07 14:00:00.0000000;2020-06-07 15:00:00.0000000;15
94CDE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-08 13:00:00.0000000;2020-06-08 14:00:00.0000000;15
A4CDE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-09 13:00:00.0000000;2020-06-09 14:00:00.0000000;15
B7CDE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-10 13:00:00.0000000;2020-06-10 14:00:00.0000000;15
C9CDE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-11 13:00:00.0000000;2020-06-11 14:00:00.0000000;15
D7CDE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-12 13:00:00.0000000;2020-06-12 14:00:00.0000000;15
63507B2B-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-13 12:00:00.0000000;2020-06-13 13:00:00.0000000;15
EACDE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-13 13:00:00.0000000;2020-06-13 14:00:00.0000000;15
E4548D3D-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-13 14:00:00.0000000;2020-06-13 15:00:00.0000000;13
6B507B2B-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-14 12:00:00.0000000;2020-06-14 13:00:00.0000000;15
FECDE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-14 13:00:00.0000000;2020-06-14 14:00:00.0000000;15
EC548D3D-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-14 14:00:00.0000000;2020-06-14 15:00:00.0000000;15
10CEE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-15 13:00:00.0000000;2020-06-15 14:00:00.0000000;15
22CEE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-16 13:00:00.0000000;2020-06-16 14:00:00.0000000;15
32CEE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-17 13:00:00.0000000;2020-06-17 14:00:00.0000000;15
43CEE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-18 13:00:00.0000000;2020-06-18 14:00:00.0000000;15
58CEE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-19 13:00:00.0000000;2020-06-19 14:00:00.0000000;15
73507B2B-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-20 12:00:00.0000000;2020-06-20 13:00:00.0000000;15
69CEE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-20 13:00:00.0000000;2020-06-20 14:00:00.0000000;15
F4548D3D-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-20 14:00:00.0000000;2020-06-20 15:00:00.0000000;15
7B507B2B-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-21 12:00:00.0000000;2020-06-21 13:00:00.0000000;15
7BCEE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-21 13:00:00.0000000;2020-06-21 14:00:00.0000000;15
FC548D3D-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-21 14:00:00.0000000;2020-06-21 15:00:00.0000000;15
8CCEE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-22 13:00:00.0000000;2020-06-22 14:00:00.0000000;15
9DCEE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-23 13:00:00.0000000;2020-06-23 14:00:00.0000000;15
BBCEE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-24 13:00:00.0000000;2020-06-24 14:00:00.0000000;15
D0CEE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-25 13:00:00.0000000;2020-06-25 14:00:00.0000000;15
E2CEE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-26 13:00:00.0000000;2020-06-26 14:00:00.0000000;15
83507B2B-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-27 12:00:00.0000000;2020-06-27 13:00:00.0000000;15
F5CEE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-27 13:00:00.0000000;2020-06-27 14:00:00.0000000;15
04558D3D-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-27 14:00:00.0000000;2020-06-27 15:00:00.0000000;15
8C507B2B-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-28 12:00:00.0000000;2020-06-28 13:00:00.0000000;15
07CFE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-28 13:00:00.0000000;2020-06-28 14:00:00.0000000;15
E3E28543-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-28 14:00:00.0000000;2020-06-28 15:00:00.0000000;15
17CFE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-29 13:00:00.0000000;2020-06-29 14:00:00.0000000;15
25CFE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-06-30 13:00:00.0000000;2020-06-30 14:00:00.0000000;15
49CFE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-07-01 13:00:00.0000000;2020-07-01 14:00:00.0000000;15
5DCFE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-07-02 13:00:00.0000000;2020-07-02 14:00:00.0000000;15
6FCFE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-07-03 13:00:00.0000000;2020-07-03 14:00:00.0000000;15
7CCFE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-07-04 13:00:00.0000000;2020-07-04 14:00:00.0000000;15
88CFE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-07-05 13:00:00.0000000;2020-07-05 14:00:00.0000000;15
97CFE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-07-06 13:00:00.0000000;2020-07-06 14:00:00.0000000;15
A8CFE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-07-07 13:00:00.0000000;2020-07-07 14:00:00.0000000;15
B4CFE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-07-08 13:00:00.0000000;2020-07-08 14:00:00.0000000;15
C5CFE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-07-09 13:00:00.0000000;2020-07-09 14:00:00.0000000;15
D6CFE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-07-10 13:00:00.0000000;2020-07-10 14:00:00.0000000;15
E6CFE706-D41F-E911-80C6-5820B1E20440;5D63626E-7F05-E711-80CD-5820B1E20440;2020-07-11 13:00:00.0000000;2020-07-11 14:00:00.0000000;15
